id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-1882,10008,Done,NGBC,B2C,10200,Story,20,5,68,13
NGBC-1914,10008,Done,NGBC,B2C,10600,Technical Story,2,2,16,0.25
NGBC-1915,10008,Done,NGBC,B2C,10600,Technical Story,NULL,5,12,4
NGBC-1921,10008,Done,NGBC,B2C,10200,Story,NULL,5,15,2
NGBC-1927,10008,Done,NGBC,B2C,10600,Technical Story,NULL,3,13,1
NGBC-1933,10008,Done,NGBC,B2C,10200,Story,3,5,28,10
NGBC-1939,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,46,10
NGBC-194,10008,Done,NGBC,B2C,10200,Story,2,1,37,31
NGBC-1940,10008,Done,NGBC,B2C,10600,Technical Story,2,2,27,1
NGBC-1947,10008,Done,NGBC,B2C,10201,Bug,2,2,5,5
NGBC-1952,10008,Done,NGBC,B2C,10600,Technical Story,5,5,38,4
NGBC-1959,10008,Done,NGBC,B2C,10600,Technical Story,3,2,30,1
NGBC-1960,10008,Done,NGBC,B2C,10201,Bug,1,1,2,1
NGBC-197,10008,Done,NGBC,B2C,10103,Task,3,3,34,27
NGBC-1971,10008,Done,NGBC,B2C,10200,Story,3,3,32,6
NGBC-1983,10008,Done,NGBC,B2C,10600,Technical Story,3,3,40,1
NGBC-1984,10008,Done,NGBC,B2C,10201,Bug,2,2,3,3
NGBC-1993,10008,Done,NGBC,B2C,10200,Story,2,2,5,2
NGBC-1994,10008,Done,NGBC,B2C,10600,Technical Story,3,3,7,1
NGBC-2003,10008,Done,NGBC,B2C,10600,Technical Story,2,2,15,0.71
NGBC-2006,10008,Done,NGBC,B2C,10600,Technical Story,5,5,9,2
NGBC-201,10008,Done,NGBC,B2C,10103,Task,8,8,19,0
NGBC-2012,10008,Done,NGBC,B2C,10200,Story,5,5,9,3
NGBC-2034,10008,Done,NGBC,B2C,10600,Technical Story,5,5,20,5
NGBC-2042,10008,Done,NGBC,B2C,10200,Story,3,3,18,0.92
NGBC-205,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,9,9
